chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,genre
0.34012973,0.13660018,1798.2344278466167,1687.3198366500437,3625.136412629402,0.0966369817869582,-129.40356,141.74864,-42.528156,34.001812,-6.971375,8.68778,-11.36306,15.94384,-9.015018,6.639111,-8.326205,7.5594826,-5.469925,5.870866,-3.1525168,-1.6954043,-8.807615,-4.858021,-9.291838,2.1231601,hiphop
0.40067205,0.22475857,1811.0907893923022,2279.385519549546,3889.9348114297118,0.05145433738873839,-113.628265,87.07087,-0.63808346,52.25518,19.377625,19.676193,15.387045,13.71075,6.951093,9.07707,7.965796,4.412705,-0.15473123,-0.43290403,0.22154199,-0.8372173,-2.17967,-1.9916912,-4.4428053,-4.3010197,hiphop
0.34758487,0.13060717,2431.6745536158296,2783.1825288783557,5276.543093465799,0.10152508526025542,-185.25148,96.74281,44.600403,13.892824,6.0146594,-2.906556,3.261851,-9.664786,-3.648592,5.251207,-0.9549689,7.687712,6.0880246,-0.11232198,0.57322156,0.50927186,-5.869581,-5.4587727,-3.0603397,-4.78197,hiphop
0.49168044,0.16661067,2355.621296823601,2496.919774597185,5176.777030070869,0.07013033934791021,-101.081245,72.40871,-2.374791,46.051167,5.5450935,24.215153,3.540355,14.531002,5.654686,13.53511,4.972193,9.905891,2.9368954,-2.9988053,-1.2425075,2.3058746,-2.819226,1.7559552,0.8558955,-4.3526983,hiphop
0.4755149,0.1641434,3459.980501661103,2916.898258706314,7022.724201214202,0.17347174015576625,-103.22314,30.57212,20.809032,45.81602,9.800678,8.627315,1.6164563,12.33468,0.51866484,4.9922223,-2.83595,8.032367,-1.397461,3.3177278,1.2085942,3.301628,-2.6962645,5.6360793,-0.7149582,2.758796,hiphop
0.44697666,0.124151625,3258.7937668169607,3321.233022757826,7619.562258882788,0.12631934198432662,-104.715996,64.0346,28.791668,10.54608,15.168903,13.066784,8.023293,5.2342043,6.73682,5.1248503,4.4460244,4.464318,3.354734,2.422061,0.18586996,-1.5202584,-2.567993,-1.1960529,-2.1893506,-1.8801897,hiphop
0.4221081,0.22879635,2545.058137328884,2748.0036712223564,5683.715631349168,0.09572391096652477,-66.06443,74.91577,20.634378,39.27426,8.157337,15.135332,-0.38283697,5.5729513,1.4617355,-0.63366073,-1.571073,1.4559902,-2.414519,-2.1937199,-4.3210588,-4.420351,-5.131102,-4.2903647,-6.337594,-5.0165033,hiphop
0.44940633,0.24710079,3236.2092131808367,3272.1557177055006,7338.638957587558,0.10935685952012383,-76.64228,52.776497,34.640076,26.187645,16.660328,11.346408,5.853892,6.9042387,3.664476,-0.960427,3.875897,4.4879446,0.6365996,5.4337535,4.194069,0.8124227,1.6306313,0.69435334,-2.8060627,-3.4109476,hiphop
0.5337824,0.11357303,2628.9767336632103,2350.956242233718,5411.725609368953,0.1385550956607972,-105.56951,76.67492,-24.774305,55.198994,-8.257657,28.899265,-15.7475815,26.304575,-8.49144,20.454641,-8.151382,13.922347,-6.566314,9.869241,-4.8636723,5.8765297,-1.9471784,3.9654107,-3.6028059,-2.288011,hiphop
0.49831194,0.12070812,2670.154564498446,2396.6483338279327,5527.058245301616,0.11762400529702012,-103.13827,74.090225,-22.43464,51.60479,-7.0798135,32.670975,-14.993524,19.642502,-7.0712337,22.27215,-7.3240576,17.61178,-0.04568524,14.720985,-4.2429547,10.659666,-6.3376107,1.0340246,-1.8354766,5.550285,hiphop
0.4600093,0.118590504,2694.9757203214963,2389.2350164364775,5600.091137015044,0.14991216984326625,-89.86678,79.76334,-25.737309,47.726387,-10.019151,31.556944,-22.19752,26.661226,-10.976784,18.823181,-15.565013,14.414716,-10.038895,8.900903,-8.932948,7.2392864,-5.013773,3.1289532,-4.7381425,-1.5847808,hiphop
0.4236211,0.14017272,2395.496191736084,2345.871974558943,5281.90139439822,0.11596868650832043,-81.91787,94.772316,-16.236649,40.530563,-12.247199,28.186155,-20.102428,18.101372,-14.641278,14.184543,-7.25433,13.6582365,-8.488,7.8997188,-4.8325133,5.101997,-5.8849735,2.072523,-5.665477,-1.3740295,hiphop
